,,,,Overall,,SRS,,,Scoring,,Passing,,Rushing,,Total,
Rk,School,Conf,AP Rank,W,L,OSRS,DSRS,SRS,Off,Def,Off,Def,Off,Def,Off,Def
73,Syracuse,ACC (Atlantic),,5,7,-0.11,-0.06,-0.17,41.48,11.54,8.04,5.88,6.62,2.35,7.08,3.96
74,Virginia Tech,ACC (Coastal),,6,7,-3.13,2.80,-0.33,37.57,9.31,8.55,5.90,5.72,3.62,6.72,4.58
75,Tulsa,American,,7,6,-0.43,-0.01,-0.44,39.00,11.82,9.57,5.74,5.65,2.99,7.20,4.33
76,Texas Christian,Big 12,,5,7,3.91,-4.36,-0.45,45.22,18.11,10.98,7.62,6.63,4.27,8.20,5.71
77,Miami (OH),MAC (East),,7,6,-0.77,0.28,-0.49,39.69,12.21,9.59,6.17,5.11,3.16,7.26,4.78
78,Georgia State,Sun Belt (East),,8,5,-1.38,0.55,-0.83,39.53,14.82,7.63,6.22,5.72,2.68,6.37,4.52
79,Boston College,ACC (Atlantic),,6,6,-4.48,3.48,-1.00,37.33,9.07,8.62,5.79,5.27,3.23,6.56,4.37
80,Northern Illinois,MAC (West),,9,5,4.91,-6.09,-1.18,42.81,20.70,8.45,6.70,5.97,4.78,6.87,5.77
81,California,Pac-12 (North),,5,7,-4.66,3.34,-1.32,36.14,8.64,8.55,5.11,5.54,3.25,6.93,4.20
82,Rutgers,Big Ten (East),,5,8,-6.99,5.66,-1.32,36.47,8.94,7.75,6.80,5.05,2.94,6.13,4.63
83,Memphis,American,,6,6,3.40,-4.76,-1.36,41.52,15.91,9.39,5.51,5.07,3.47,7.14,4.48
84,Navy,American,,4,8,-3.66,2.13,-1.53,36.16,11.50,8.98,6.24,5.15,2.83,5.70,4.69
85,USC,Pac-12 (South),,4,8,3.16,-4.86,-1.70,45.02,17.23,9.12,7.11,5.45,3.51,7.31,5.13
86,Georgia Tech,ACC (Coastal),,3,9,-0.27,-1.63,-1.91,40.41,16.52,8.57,8.13,5.77,3.27,6.90,5.23
87,Wyoming,MWC (Mountain),,7,6,-3.25,0.11,-3.14,35.52,13.69,8.32,5.26,5.83,4.07,6.61,4.81
88,Middle Tennessee State,CUSA (East),,7,6,-1.60,-2.13,-3.73,39.95,14.94,7.89,5.05,4.16,3.39,5.97,4.29
89,Eastern Michigan,MAC (West),,7,6,1.41,-5.28,-3.88,40.62,20.07,8.67,6.99,4.22,4.25,6.37,5.53
90,North Texas,CUSA (West),,6,7,-2.79,-1.72,-4.51,37.69,15.58,7.65,6.04,5.62,3.43,6.31,4.64
